units,name_plt,lat,lon,value,date,year,month,my_date,mean,size
MMBtu,Elrama Power Plant,40.251829,-79.918022,279155,2010-03-01,2010,3,2010.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,584801,2010-02-01,2010,2,2010.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,978763,2010-01-01,2010,1,2010,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,629962,2009-12-01,2009,12,2009.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,366420,2009-11-01,2009,11,2009.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,25744,2009-10-01,2009,10,2009.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,80581,2009-09-01,2009,9,2009.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,274167,2009-08-01,2009,8,2009.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,62607,2009-07-01,2009,7,2009.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,642438,2009-06-01,2009,6,2009.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1063956,2009-05-01,2009,5,2009.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,225596,2009-04-01,2009,4,2009.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,225596,2009-03-01,2009,3,2009.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,451379,2009-02-01,2009,2,2009.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,497575,2009-01-01,2009,1,2009,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1199490,2008-12-01,2008,12,2008.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,454010,2008-11-01,2008,11,2008.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,454010,2008-10-01,2008,10,2008.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,81609,2008-09-01,2008,9,2008.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,352127,2008-08-01,2008,8,2008.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1074281,2008-07-01,2008,7,2008.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1637798,2008-06-01,2008,6,2008.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,95049,2008-05-01,2008,5,2008.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1927894,2008-04-01,2008,4,2008.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2405352,2008-03-01,2008,3,2008.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2224081,2008-02-01,2008,2,2008.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2077279,2008-01-01,2008,1,2008,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1960428,2007-12-01,2007,12,2007.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,840533,2007-11-01,2007,11,2007.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2167061,2007-10-01,2007,10,2007.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1790802,2007-09-01,2007,9,2007.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2114311,2007-08-01,2007,8,2007.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2123117,2007-07-01,2007,7,2007.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1435242,2007-06-01,2007,6,2007.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2017667,2007-05-01,2007,5,2007.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2191563,2007-04-01,2007,4,2007.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2465001,2007-03-01,2007,3,2007.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2399441,2007-02-01,2007,2,2007.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2132457,2007-01-01,2007,1,2007,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2496016,2006-12-01,2006,12,2006.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2435119,2006-11-01,2006,11,2006.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2301109,2006-10-01,2006,10,2006.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1251890,2006-09-01,2006,9,2006.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2467837,2006-08-01,2006,8,2006.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2650176,2006-07-01,2006,7,2006.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2159938,2006-06-01,2006,6,2006.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1782308,2006-05-01,2006,5,2006.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,368929,2006-04-01,2006,4,2006.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2483106,2006-03-01,2006,3,2006.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2262542,2006-02-01,2006,2,2006.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2696836,2006-01-01,2006,1,2006,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2230813.49,2005-12-01,2005,12,2005.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2162437.81,2005-11-01,2005,11,2005.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2123230.16,2005-10-01,2005,10,2005.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,1905894.43,2005-09-01,2005,9,2005.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2527999.1,2005-08-01,2005,8,2005.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,2507296.15,2005-07-01,2005,7,2005.5,1241705.47044586,md
